,player,type,pass_outcome,pass_cross,pass_shot_assist,pass_through_ball,pass_technique,shot_outcome,shot_statsbomb_xg,shot_type,dribble_outcome,match_id,minute,location_x,location_y,pass_end_x,pass_end_y
0,Sylvain Wiltord,Pass,,,,,,,,,,3749493,0,60.0,40.0,49.4,36.1
1,Patrick Vieira,Pass,,,,,,,,,,3749493,0,49.0,35.9,46.1,68.9
2,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,0,46.7,68.9,54.5,73.4
3,Fredrik Ljungberg,Pass,,,,,,,,,,3749493,0,54.9,73.2,56.8,63.3
4,Gilberto Aparecido da Silva,Pass,,,,,,,,,,3749493,0,56.6,67.6,46.3,75.2
5,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,0,46.3,75.2,32.4,61.3
6,Kolo Habib Touré,Pass,,,,,,,,,,3749493,0,31.8,61.9,10.1,40.8
7,Jens Lehmann,Pass,,,,,,,,,,3749493,0,11.5,33.6,62.7,30.4
8,Patrick Vieira,Pass,Incomplete,,,,,,,,,3749493,0,62.7,30.4,79.9,29.3
9,Robert Pirès ,Pass,,,,,,,,,,3749493,0,76.8,1.9,109.2,4.2
10,Sylvain Wiltord,Cross,Incomplete,True,,,,,,,,3749493,0,103.5,6.0,107.6,55.1
11,Laureano Bisan-Etame Mayer,Pass,Incomplete,,,,,,,,,3749493,0,77.0,57.6,85.2,55.1
12,Kolo Habib Touré,Pass,Incomplete,,,,,,,,,3749493,0,20.5,78.3,23.0,77.9
13,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,1,21.8,80.0,7.0,70.7
14,Kolo Habib Touré,Pass,,,,,,,,,,3749493,1,6.6,69.5,0.9,52.3
15,Jens Lehmann,Pass,Incomplete,,,,,,,,,3749493,1,0.9,52.3,58.4,66.8
16,Gilberto Aparecido da Silva,Pass,,,,,,,,,,3749493,1,39.4,55.3,37.9,10.9
17,Ashley Cole,Pass,,,,,,,,,,3749493,1,37.9,9.5,48.4,4.6
18,Robert Pirès ,Pass,,,,,,,,,,3749493,1,34.7,8.2,41.8,17.7
19,Gilberto Aparecido da Silva,Pass,Incomplete,,,,,,,,,3749493,1,47.8,30.4,95.5,60.1
20,Fredrik Ljungberg,Pass,,,,,,,,,,3749493,1,95.1,60.0,98.1,48.6
21,Sylvain Wiltord,Pass,,,,,,,,,,3749493,1,98.1,48.6,105.1,54.3
22,"Sulzeer Jeremiah ""Sol"" Campbell",Pass,,,,,,,,,,3749493,2,33.2,13.6,48.4,6.4
23,Robert Pirès ,Pass,,,,,,,,,,3749493,2,42.2,4.2,32.2,4.8
24,"Sulzeer Jeremiah ""Sol"" Campbell",Pass,Incomplete,,,,,,,,,3749493,2,33.0,5.0,34.4,4.4
25,Ashley Cole,Pass,,,,,,,,,,3749493,2,34.7,0.1,20.7,10.3
26,"Sulzeer Jeremiah ""Sol"" Campbell",Pass,,,,,,,,,,3749493,2,20.7,13.0,6.4,32.8
27,Jens Lehmann,Pass,,,,,,,,,,3749493,2,7.4,38.6,20.3,58.0
28,Kolo Habib Touré,Pass,,,,,,,,,,3749493,2,35.1,61.9,39.4,70.7
29,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,2,44.9,72.7,25.4,50.6
30,Kolo Habib Touré,Pass,,,,,,,,,,3749493,2,25.2,48.8,8.0,44.1
31,Jens Lehmann,Pass,,,,,,,,,,3749493,2,8.0,44.1,55.9,1.9
32,Ashley Cole,Pass,,,,,,,,,,3749493,3,65.8,3.9,54.1,11.5
33,Patrick Vieira,Pass,,,,,,,,,,3749493,3,61.1,18.9,76.0,36.9
34,Sylvain Wiltord,Pass,,,,,,,,,,3749493,3,76.0,36.9,52.9,59.6
35,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,3,57.6,64.3,77.9,77.7
36,Fredrik Ljungberg,Cross,Incomplete,True,,,,,,,,3749493,3,89.3,74.6,110.2,46.1
37,Kolo Habib Touré,Pass,,,,,,,,,,3749493,3,74.4,72.1,93.0,59.6
38,Sylvain Wiltord,Pass,,,,,,,,,,3749493,3,90.3,59.8,84.6,61.9
39,Gilberto Aparecido da Silva,Pass,,,True,,,,,,,3749493,3,84.6,61.9,89.3,42.6
40,Jens Lehmann,Pass,,,,,,,,,,3749493,4,13.8,34.5,53.5,1.5
41,Robert Pirès ,Pass,,,,,,,,,,3749493,4,56.8,0.1,51.4,8.2
42,Patrick Vieira,Pass,,,,,,,,,,3749493,4,52.9,5.8,61.9,6.0
43,Robert Pirès ,Pass,,,,,,,,,,3749493,4,56.6,21.3,69.7,31.0
44,Sylvain Wiltord,Pass,,,,,,,,,,3749493,4,69.7,31.0,73.4,21.1
45,Patrick Vieira,Pass,Pass Offside,,,,,,,,,3749493,4,80.5,23.6,97.3,26.9
46,Kolo Habib Touré,Pass,,,,,,,,,,3749493,5,19.9,25.2,6.2,33.6
47,Jens Lehmann,Pass,,,,,,,,,,3749493,5,6.0,33.4,66.0,27.1
48,Thierry Henry,Pass,,,,,,,,,,3749493,5,66.0,27.1,73.6,33.2
49,Sylvain Wiltord,Pass,Incomplete,,,,,,,,,3749493,5,71.5,32.0,98.7,71.1
50,Kolo Habib Touré,Pass,,,,,,,,,,3749493,5,51.9,48.0,69.1,39.0
51,Sylvain Wiltord,Pass,,,,,,,,,,3749493,5,61.3,36.1,57.0,8.2
52,Ashley Cole,Pass,Incomplete,,,,,,,,,3749493,5,57.0,8.2,80.1,11.1
53,Jens Lehmann,Pass,,,,,,,,,,3749493,5,15.8,35.1,37.7,39.4
54,Gilberto Aparecido da Silva,Pass,Incomplete,,,,,,,,,3749493,5,52.7,37.9,72.5,39.2
55,Jens Lehmann,Pass,Incomplete,,,,,,,,,3749493,8,11.3,35.5,67.4,14.2
56,"Sulzeer Jeremiah ""Sol"" Campbell",Pass,Incomplete,,,,,,,,,3749493,8,15.2,1.7,41.4,3.5
57,Robert Pirès ,Pass,,,,,,,,,,3749493,8,31.4,0.1,42.6,3.7
58,Sylvain Wiltord,Pass,,,,,,,,,,3749493,8,58.2,2.3,53.1,4.6
59,Patrick Vieira,Pass,Incomplete,,,,,,,,,3749493,8,53.5,2.7,69.5,14.6
60,Jens Lehmann,Pass,Incomplete,,,,,,,,,3749493,9,16.4,39.0,86.5,24.6
61,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,9,68.8,65.4,65.4,50.6
62,Gilberto Aparecido da Silva,Pass,,,,,,,,,,3749493,9,68.8,53.3,79.5,77.0
63,Fredrik Ljungberg,Pass,,,,,,,,,,3749493,9,82.6,77.9,91.6,77.9
64,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,9,91.6,77.9,80.5,73.6
65,Fredrik Ljungberg,Pass,,,,,,,,,,3749493,9,80.1,75.6,67.2,70.7
66,Gilberto Aparecido da Silva,Pass,,,,,,,,,,3749493,9,69.9,70.3,80.5,1.1
67,Robert Pirès ,Pass,,,,,,,,,,3749493,9,80.5,1.1,71.7,2.9
68,Ashley Cole,Pass,,,,,,,,,,3749493,9,73.2,6.8,82.2,3.3
69,Laureano Bisan-Etame Mayer,Pass,Incomplete,,,,,,,,,3749493,11,41.4,74.4,66.2,74.4
70,Jens Lehmann,Pass,,,,,,,,,,3749493,11,6.0,44.0,26.9,66.6
71,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,11,26.9,66.6,6.4,46.9
72,Jens Lehmann,Pass,,,,,,,,,,3749493,11,13.2,47.8,62.3,30.6
73,Patrick Vieira,Pass,Incomplete,,,,,,,,,3749493,11,62.3,30.6,74.0,46.3
74,Fredrik Ljungberg,Pass,,,,,,,,,,3749493,12,74.4,39.6,118.8,62.5
75,Sylvain Wiltord,Cross,Incomplete,True,,,,,,,,3749493,12,118.4,62.3,110.2,36.3
76,Robert Pirès ,Pass,,,,,,,,,,3749493,12,110.2,10.3,106.9,24.4
77,"Sulzeer Jeremiah ""Sol"" Campbell",Pass,Incomplete,,,,,,,,,3749493,12,40.0,46.9,56.4,42.8
78,Jens Lehmann,Pass,Incomplete,,,,,,,,,3749493,13,6.0,36.0,57.8,6.4
79,Ashley Cole,Pass,,,,,,,,,,3749493,13,7.0,9.1,5.2,24.4
80,Jens Lehmann,Pass,,,,,,,,,,3749493,13,11.5,20.3,51.6,4.2
81,Patrick Vieira,Pass,,,,,,,,,,3749493,13,28.3,0.9,48.2,6.2
82,Thierry Henry,Pass,,,,,,,,,,3749493,13,48.2,6.2,46.9,1.3
83,Robert Pirès ,Pass,,,,,,,,,,3749493,13,49.0,1.3,50.2,11.9
84,Patrick Vieira,Pass,Incomplete,,,,,,,,,3749493,13,44.7,19.1,46.1,18.5
85,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,13,86.1,63.5,98.7,47.8
86,Sylvain Wiltord,Pass,,,,,,,,,,3749493,13,98.7,47.8,94.4,50.2
87,Ashley Cole,Pass,,,,,,,,,,3749493,15,38.1,1.7,54.5,18.1
88,Patrick Vieira,Pass,,,,,,,,,,3749493,15,54.5,18.1,63.1,2.5
89,Robert Pirès ,Pass,,,,,,,,,,3749493,15,56.8,15.4,56.0,32.0
90,Gilberto Aparecido da Silva,Pass,,,,,,,,,,3749493,15,57.0,39.4,80.1,74.2
91,Laureano Bisan-Etame Mayer,Cross,Incomplete,True,,,,,,,,3749493,15,93.0,70.5,107.6,45.1
92,"Sulzeer Jeremiah ""Sol"" Campbell",Pass,,,,,,,,,,3749493,15,43.5,52.3,58.0,40.6
93,Sylvain Wiltord,Pass,,,,,,,,,,3749493,16,48.0,63.5,66.0,56.8
94,Thierry Henry,Pass,Out,,,,,,,,,3749493,16,67.0,57.2,70.9,79.9
95,Jens Lehmann,Pass,Incomplete,,,,,,,,,3749493,17,6.0,36.0,75.2,30.4
96,Patrick Vieira,Pass,,,,,,,,,,3749493,17,64.3,45.5,73.4,57.6
97,Fredrik Ljungberg,Pass,,,,,,,,,,3749493,17,71.1,58.2,79.1,73.0
98,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,17,82.2,71.7,100.6,56.4
99,Thierry Henry,Cross,Incomplete,True,,,,,,,,3749493,17,111.6,58.0,113.9,34.3
100,Robert Pirès ,Pass,,,True,,Inswinging,,,,,3749493,18,120.0,0.1,111.4,46.5
101,Gilberto Aparecido da Silva,Pass,,,,,,,,,,3749493,18,48.2,30.0,61.7,31.4
102,Sylvain Wiltord,Pass,Incomplete,,,,,,,,,3749493,18,62.5,38.3,66.4,64.3
103,Sylvain Wiltord,Pass,,,,,,,,,,3749493,18,56.0,56.2,68.2,68.2
104,Sylvain Wiltord,Pass,,,,,,,,,,3749493,19,69.7,66.6,64.8,53.5
105,Gilberto Aparecido da Silva,Pass,,,,,,,,,,3749493,19,64.8,53.7,63.5,72.7
106,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,19,64.5,73.2,74.4,75.0
107,Fredrik Ljungberg,Pass,,,,,,,,,,3749493,19,71.7,75.6,59.2,69.9
108,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,19,56.4,66.4,68.6,47.6
109,Patrick Vieira,Pass,,,,,,,,,,3749493,19,68.4,47.6,53.5,36.7
110,"Sulzeer Jeremiah ""Sol"" Campbell",Pass,,,,,,,,,,3749493,19,53.9,28.5,58.0,6.2
111,Ashley Cole,Pass,,,,,,,,,,3749493,19,61.3,5.2,73.8,13.8
112,Gilberto Aparecido da Silva,Pass,Incomplete,,,,,,,,,3749493,19,78.1,20.7,79.7,25.4
113,Kolo Habib Touré,Pass,,,,,,,,,,3749493,19,50.8,42.6,50.8,62.9
114,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,19,73.1,61.7,64.3,45.9
115,Patrick Vieira,Pass,,,,,,,,,,3749493,19,64.3,45.9,79.5,50.2
116,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,19,88.5,24.4,96.1,11.3
117,Robert Pirès ,Pass,Incomplete,,,,,,,,,3749493,19,97.1,11.9,108.0,27.1
118,Ashley Cole,Pass,,,,,,,,,,3749493,20,8.4,0.1,38.5,3.3
119,Jens Lehmann,Pass,Incomplete,,,,,,,,,3749493,21,6.0,36.0,65.0,33.4
120,Kolo Habib Touré,Pass,,,,,,,,,,3749493,21,23.0,77.5,15.4,61.7
121,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,21,26.1,52.3,32.0,52.5
122,Gilberto Aparecido da Silva,Pass,,,,,,,,,,3749493,21,32.0,49.8,31.8,8.5
123,Ashley Cole,Pass,,,,,,,,,,3749493,21,32.4,8.0,52.1,4.4
124,Robert Pirès ,Pass,,,,,,,,,,3749493,21,69.1,7.8,106.5,26.3
125,Ashley Cole,Pass,,,,,,,,,,3749493,22,18.7,0.1,40.4,1.3
126,Patrick Vieira,Pass,,,,,,,,,,3749493,22,40.6,2.5,44.9,8.7
127,Sylvain Wiltord,Pass,Incomplete,,,,,,,,,3749493,22,44.9,8.7,45.1,13.6
128,Robert Pirès ,Pass,,,,,,,,,,3749493,22,56.6,17.0,53.1,17.1
129,Patrick Vieira,Pass,,,,,,,,,,3749493,22,56.6,29.7,60.9,73.4
130,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,22,72.3,75.4,70.3,66.2
131,Fredrik Ljungberg,Pass,,,,,,,,,,3749493,22,70.3,66.2,77.0,74.6
132,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,22,78.3,72.3,90.1,49.6
133,Sylvain Wiltord,Pass,Incomplete,,,,,,,,,3749493,22,90.3,51.2,100.2,69.9
134,Laureano Bisan-Etame Mayer,Pass,Incomplete,,,,,,,,,3749493,23,66.8,73.2,80.9,70.7
135,Kolo Habib Touré,Pass,,,,,,,,,,3749493,23,40.2,76.4,38.5,36.7
136,"Sulzeer Jeremiah ""Sol"" Campbell",Pass,,,,,,,,,,3749493,23,38.5,37.5,46.7,38.1
137,Patrick Vieira,Pass,,,,,,,,,,3749493,23,45.3,41.2,44.9,19.5
138,"Sulzeer Jeremiah ""Sol"" Campbell",Pass,,,,,,,,,,3749493,23,55.3,12.5,89.3,29.1
139,Thierry Henry,Pass,Incomplete,,,,,,,,,3749493,23,86.3,36.1,96.3,57.0
140,Jens Lehmann,Pass,Incomplete,,,,,,,,,3749493,28,14.8,40.0,79.7,37.1
141,Laureano Bisan-Etame Mayer,Pass,,,,,,,,,,3749493,29,9.5,80.0,29.3,63.1
142,Patrick Vieira,Pass,,,,,,,,,,3749493,29,31.2,63.3,19.3,60.5
143,Kolo Habib Touré,Pass,,,,,,,,,,3749493,29,20.7,59.8,18.3,28.9
